location_id,date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,enso,iod,mjo_phase,mjo_amplitude,latitude,longitude,elevation_m,soil_code,normal_daily_rain_mm,enso_current,enso_lag_7d,enso_rolling_7d,iod_current,iod_lag_7d,iod_rolling_7d,mjo_sin,mjo_cos,rain_lag_1d,rain_lag_3d,rain_acc_7d,rain_acc_14d,rain_acc_30d,dry_days_prev_7d,dry_days_prev_14d,wet_days_prev_7d,rainfall_anomaly_pct,temp_anomaly_c,doy_sin,doy_cos,target_onset_7d,target_false_onset_7d,target_dry_spell_7d,target_heavy_rain_7d,imd_heavy_category_7d,target_rainfall_mm_7d,target_anomaly_pct_7d,target_onset_14d,target_false_onset_14d,target_dry_spell_14d,target_heavy_rain_14d,imd_heavy_category_14d,target_rainfall_mm_14d,target_anomaly_pct_14d,target_onset_21d,target_false_onset_21d,target_dry_spell_21d,target_heavy_rain_21d,imd_heavy_category_21d,target_rainfall_mm_21d,target_anomaly_pct_21d,target_onset_30d,target_false_onset_30d,target_dry_spell_30d,target_heavy_rain_30d,imd_heavy_category_30d,target_rainfall_mm_30d,target_anomaly_pct_30d
koraon,2019-05-03,0.0,33.9,41.1,986.4,24.8,0.71,0.34,8,0.8,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,1.9966666666666697,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-03,0.0,34.0,41.7,989.1,24.0,0.71,0.34,8,0.8,25.14,82.12,118.0,3,8.1,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,1.9799999999999969,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
phulpur,2019-05-03,0.0,33.9,43.0,991.7,23.2,0.71,0.34,8,0.8,25.55,82.09,94.0,2,8.4,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,10.1,7.0,14.0,0.0,-100.0,1.8799999999999955,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
soraon,2019-05-03,0.0,33.9,42.9,991.6,23.2,0.71,0.34,8,0.8,25.6,81.85,95.0,1,8.8,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,9.8,7.0,14.0,0.0,-100.0,1.8966666666666612,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
bara,2019-05-04,0.0,32.2,49.6,992.9,20.3,0.71,0.34,8,0.85,25.25,81.73,108.0,3,8.2,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,0.10666666666666913,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-04,0.0,32.2,50.2,994.1,20.0,0.71,0.34,8,0.85,25.39,81.86,97.0,2,8.5,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.7,7.0,14.0,0.0,-100.0,0.07333333333333059,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-04,0.0,32.2,50.6,994.7,19.8,0.71,0.34,8,0.85,25.38,82.18,91.0,1,8.7,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.399999999999999,7.0,14.0,0.0,-100.0,0.026666666666670835,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-04,0.0,32.2,50.0,994.2,19.9,0.71,0.34,8,0.85,25.28,81.94,96.0,1,8.6,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.2,7.0,14.0,0.0,-100.0,0.04000000000000625,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-04,0.0,32.1,49.1,989.1,21.3,0.71,0.34,8,0.85,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,0.1300000000000061,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-04,0.0,32.2,49.7,991.8,20.6,0.71,0.34,8,0.85,25.14,82.12,118.0,3,8.1,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,0.11333333333333684,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
